Establishment,ICT,BIOLOGY,GEOLOGY,HISTORY,ECONOMICS,GEOGRAPHY,MARKETING,DATA PROCESSING,BUSINESS MATHEMATICS,BUSINESS MANAGEMENT,PHYSICS,MATHEMATICS AND MECHANICS,CHEMISTRY,PHILOSOPHY,LITERATURE IN ENGLISH,RELIGIOUS STUDIES,PURE MATHEMATICS WITH STATISTICS,FRENCH,FOOD SCIENCE AND NUTRITION,FURTHER MATHEMATICS,PURE MATHEMATICS WITH MECHANICS,COMMERCE AND FINANCE,ENGLISH LANGUAGE,COMPUTER SCIENCE,ACCOUNTING,LAW,COMMUNICATION SKILLS,SECRETERIAL ADMINISTRATION,ENGINEERING SCIENCE
Faculty of Education,null,null,null,B,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,E,null,B,null,null,null,null,null,null,E,C,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,B,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,null,null,null,null,null,null,null,null,null,null,D,null,null,A,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,C,B,null,null,null,null,null,null,null,null,D,null,C,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,E,null,null,null,null,null,null,null,null,null,E,E,null,null,D,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,O,null,null,null,null,null,null,null,null,null,B,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,C,null,null,null,null,null,null,null,null,null,C,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,D,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,B,null,null,null,null,null,null,null,null,null,null,C,null,null,C,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,C,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,C,B,null,null,null,null,null,null,null,null,null,null,D,null,null,null,O,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,A,null,null,,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,B,C,null,null,null,null,null,null,null,E,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,null,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,null,null,null,null,null,null,null,null,null,A,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,C,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,O,E,null,null,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,null,E,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,E,null,null,null,null,null,null,null,null,E,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,A,null,null,null,null,null,null,null,null,null,C,C,null,null,B,null,null,null,null,E,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,C,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,E,null,null,null,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,B,null,null,null,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,C,null,null,null,null,null,null,null,null,C,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,O,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,E,null,null,null,null,null,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,null,null,null,null,null,null,null,null,null,null,D,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,B,null,null,null,null,null,null,null,null,null,C,E,null,null,null,null,null,null,null,O,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,E,E,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,null,null,null,null,null,null,null,null,null,null,D,null,null,E,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,B,B,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,null,D,null,null,B,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,D,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,F,null,null,null,null,null,null
Faculty of Education,null,null,null,E,,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,null,null,null,null,null,null,null,null,E,null,C,null,null,null,null,null,D,null,E,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,E,null,null,null,null,null,null,null,null,null,C,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,D,E,E,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,O,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,C,E,null,null,null,null,null,null,null,O,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,B,C,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,C,C,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,null,B,null,D,A,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,C,null,null,null,null,null,null,null,null,null,D,C,null,null,B,null,null,null,null,E,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,F,null,null,null,B,null,null,null,null,E,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Arts,null,null,null,D,null,null,null,null,null,null,null,null,null,F,E,F,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,F,E,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,B,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,,E,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,E,E,null,null,null,null,null,null,null,E,null,E,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,C,null,null,B,null,null,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,E,E,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,B,D,null,null,null,null,null,null,null,E,null,null,F,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,E,null,null,null,null,null,null,null,null,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,B,null,null,null,null,null,null,null,null,null,B,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,null,null,E,null,null,B,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,D,null,null,null,null,null,null,null,null,E,null,D,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,O,null,null,null,null,null,null,null,null,O,E,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,C,null,null,null,B,E,null,null,null,null,null,null,null,null,null,null,E,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Science,null,C,null,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,E,null,C,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,null,C,C,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,D,null,null,null,null,null,null,null,null,null,D,C,null,null,B,null,null,null,null,null,null,null,null,null,null,null
Faculty of Social and Management Sciences,null,null,null,C,null,null,null,null,null,null,null,null,null,D,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Faculty of Education,null,null,null,,E,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null
